LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott324829,Gephyromantis leucomaculatus
ott1005161,Gephyromantis zavona
ott846788,Gephyromantis moseri
ott324832,Gephyromantis pseudoasper
ott687976,Gephyromantis luteus
ott846785,Gephyromantis plicifer
ott29294,Gephyromantis sculpturatus
ott7070744,Gephyromantis tohatra
ott504661,Gephyromantis atsingy
ott687971,Gephyromantis corvus
ott3618050,Gephyromantis azzurrae
ott3618051,Gephyromantis spiniferus
ott7666583,Gephyromantis ranjomavo
ott29289,Mantidactylus charlotteae
ott800218,Mantidactylus opiparis
ott744988,Mantidactylus melanopleura
ott678981,Mantidactylus zipperi
ott119493,Mantidactylus delormei
ott796176,Mantidactylus brevipalmatus
ott639053,Mantidactylus paidroa
ott687983,Mantidactylus albofrenatus
ott744999,Mantidactylus aerumnalis
ott687988,Mantidactylus biporus
ott41958,Mantidactylus madecassus
ott687968,Mantidactylus curtus
ott693594,Mantidactylus pauliani
ott693589,Mantidactylus alutus
ott625912,Mantidactylus noralottae
ott678990,Mantidactylus bellyi
ott1054406,Mantidactylus ulcerosus
ott735537,Mantidactylus betsileanus
ott420178,Mantidactylus zolitschka
ott735521,Mantidactylus femoralis
ott687974,Mantidactylus mocquardi
ott812470,Mantidactylus ambreensis
ott29298,Mantidactylus lugubris
ott678992,Mantidactylus tricinctus
ott678994,Mantidactylus bourgati
ott3618052,Mantidactylus ambohimitombi
ott171146,Mantidactylus majori
