LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott3920916,Sphaerolobium daviesioides
ott3920917,Sphaerolobium fornicatum
ott3920918,Sphaerolobium racemulosum
ott3920919,Sphaerolobium gracile
ott105851,Platylobium obtusangulum
ott233180,Platylobium formosum
ott3928369,Platylobium triangulare
ott3928370,Platylobium alternifolium
ott7055799,Platylobium montanum
ott293730,Bossiaea ornata
ott333434,Bossiaea linophylla
ott580487,Bossiaea cinerea
ott820203,Bossiaea lenticularis
ott920335,Bossiaea cordigera
ott1036687,Bossiaea buxifolia
ott3928328,Bossiaea leptacantha
ott3928329,Bossiaea walkeri
ott3928330,Bossiaea obcordata
ott3928331,Bossiaea carinalis
ott3928332,Bossiaea ensata
ott3928333,Bossiaea webbii
ott3928334,Bossiaea aquifolium
ott3928335,Bossiaea oligosperma
ott3928336,Bossiaea neoanglica
ott3928337,Bossiaea disticha
ott3928338,Bossiaea spinescens
ott3928339,Bossiaea rufa
ott3928340,Bossiaea heterophylla
ott3928341,Bossiaea rupicola
ott3928342,Bossiaea praetermissa
ott3928343,Bossiaea foliosa
ott3928344,Bossiaea pulchella
ott3928345,Bossiaea arenicola
ott3928346,Bossiaea riparia
ott3928348,Bossiaea rhombifolia
ott3928349,Bossiaea cucullata
ott3928350,Bossiaea scolopendria
ott3928352,Bossiaea oxyclada
ott3928353,Bossiaea eriocarpa
ott3928355,Bossiaea halophila
ott3928356,Bossiaea stephensonii
ott3928357,Bossiaea dentata
