LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott1091077,Picea maximowiczii
ott628854,Picea orientalis
ott593483,Picea chihuahuana
ott1040410,Picea alcoquiana
ott683685,Picea likiangensis
ott372457,Picea farreri
ott229659,Picea morrisonicola
ott262763,Picea purpurea
ott463854,Picea wilsonii
ott763297,Picea brachytyla
ott241092,Picea spinulosa
ott463853,Picea schrenkiana
ott248427,Picea engelmannii
ott771664,Picea sitchensis
ott372468,Picea neoveitchii
ott1000591,Picea breweriana
ott1079346,Picea martinezii
ott6011953,Picea laxa
ott7580609,Picea linzhiensis
ott659110,Cathaya argyrophylla
ott693247,Larix griffithii
ott1080548,Larix gmelinii
ott693251,Larix decidua
ott994602,Larix occidentalis
ott154040,Larix kaempferi
ott804263,Larix laricina
ott62999,Larix mastersiana
ott66289,Larix potaninii
ott693237,Larix lyallii
ott814107,Larix sibirica
ott693241,Pseudotsuga sinensis
ott1075713,Pseudotsuga menziesii
ott992628,Pseudotsuga japonica
ott693243,Pseudotsuga macrocarpa
ott9094,Abies hidalgensis
ott103888,Abies recurvata
ott131227,Abies hickelii
ott723570,Abies durangensis
ott140066,Abies numidica
ott887363,Abies alba
ott876306,Abies nordmanniana
ott220887,Abies pinsapo
ott876310,Abies nebrodensis
ott301372,Abies holophylla
ott301375,Abies fabri
ott876314,Abies koreana
ott876317,Abies fraseri
ott85998,Abies lasiocarpa
ott876311,Abies nephrolepis
ott301376,Abies fargesii
ott844780,Abies kawakamii
ott301374,Abies sibirica
ott343179,Abies grandis
ott876315,Abies concolor
ott876302,Abies procera
ott876303,Abies amabilis
ott924417,Abies magnifica
ott648457,Abies homolepis
ott648452,Abies veitchii
ott648449,Abies sachalinensis
ott648454,Abies firma
ott648453,Abies mariesii
ott39088,Abies beshanzuensis
ott200109,Abies beshanzuensis var. ziyuanensis
ott200119,Abies guatemalensis
ott200123,Abies flinckii
ott413009,Abies fanjingshanensis
ott639014,Abies bracteata
ott702202,Abies cephalonica
ott723560,Abies chensiensis
ott723568,Abies densa
ott753464,Abies squamata
ott775270,Abies yuanbaoshanensis
ott811585,Abies cilicica
ott844776,Abies spectabilis
ott200117,Abies pindrow
ott1079127,Abies vejarii
ott883527,Abies balsamea
ott723562,Abies delavayi
ott200121,Abies forrestii
ott7045843,Abies jaliscana
ott179024,Abies religiosa
ott288510,Keteleeria fortunei
ott994545,Keteleeria davidiana
ott1080546,Keteleeria evelyniana
ott39083,Nothotsuga longibracteata
ott117276,Tsuga canadensis
ott608487,Tsuga chinensis
ott608044,Tsuga dumosa
ott608042,Tsuga forrestii
ott487329,Tsuga diversifolia
ott784040,Tsuga sieboldii
ott628864,Tsuga caroliniana
ott608489,Tsuga mertensiana
ott1095217,Tsuga heterophylla
ott641107,Pseudolarix amabilis
ott608496,Cedrus libani
ott924430,Cedrus deodara
ott1080542,Cedrus atlantica
ott11392,Zamia tuerckheimii
ott11403,Zamia prasina
ott11405,Zamia elegantissima
ott48809,Zamia restrepoi
ott467968,Zamia manicata
ott994858,Zamia poeppigiana
ott417787,Zamia ipetiensis
ott599523,Zamia skinneri
ott417804,Zamia lecointei
ott994849,Zamia muricata
ott994852,Zamia neurophyllidia
ott417795,Zamia dressleri
ott994854,Zamia obliqua
ott636228,Zamia chigua
ott417800,Zamia acuminata
ott994844,Zamia pseudomonticola
ott1025343,Zamia fairchildiana
ott285361,Zamia furfuracea
ott417802,Zamia loddigesii
ott599519,Zamia spartea
ott599513,Zamia variegata
ott994856,Zamia paucijuga
ott599521,Zamia standleyi
ott520225,Zamia lacandona
ott599527,Zamia purpurea
ott616613,Zamia pumila
